Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,80.00%,10,8,2,0,80.00%,0:13:49,0,0.00%,0.00%,0.00%,0.00%,0:13:49
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Regression,87.50%,8,7,1,0,87.50%,0:13:49,0,0.00%,0.00%,0.00%,0.00%,0:13:49
