#,DUT,Name,Value,Platform,Chip,Build,Module,Function
1,V1,reboot,fast,,,SONiC.master.448374-a0e2082ef,routing/VRF/test_vrf.py,test_VrfFun_05_50
2,V1,reboot,fast,,,SONiC.master.448374-a0e2082ef,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_bgp_ebgp4_nbr_authentication
