#,Module,Devices,Models,Chips,TGen,Count,Pass,Rate,Time
1,switching/test_vlan.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,7,4,57.14%,0:08:04
2,system/test_ssh.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,6,4,66.67%,0:12:08
