Module Name,TC Pass Rate,TC Count,TC Pass,Sys Logs,CDT,FCLI,TSSH,DCNT,Prolog Time,Epilog Time,Func Time,Exec Time,Pass Rate,FCNT,Pass,Fail,Dut Fail,TGen Fail,Script Error,Not Supported,Config Fail,Env Fail,Dep Fail,Skipped,Timeout,Topo Fail,TS
,15.00%,20,3,0,0:33:30,3,0,6,0:08:46,0:05:49,0:02:10,0:16:45,13.33%,15,2,12,1,0,0,0,0,0,0,0,0,0,0
system/test_lldp.py,0.00%,16,0,0,0:18:42,1,0,2,0:04:37,0:04:44,0:00:00,0:09:21,0.00%,12,0,12,0,0,0,0,0,0,0,0,0,0,0
system/test_interface.py,0.00%,1,0,0,0:09:36,1,0,2,0:03:17,0:00:30,0:01:01,0:04:48,0.00%,1,0,0,1,0,0,0,0,0,0,0,0,0,0
switching/test_portchannel.py,100.00%,3,3,0,0:05:12,1,0,2,0:00:52,0:00:35,0:01:09,0:02:36,100.00%,2,2,0,0,0,0,0,0,0,0,0,0,0,0
