#,DUT,Name,Value,Platform,Chip,Build,Module,Function
1,V1,reboot,fast,x86_64-kvm_x86_64-r0,,SONiC.202111.440977-f2a2906b6,routing/VRF/test_vrf_scale.py,test_vrf_reload
2,V2,reboot,normal,x86_64-kvm_x86_64-r0,,SONiC.202111.440977-f2a2906b6,system/test_sflow.py,test_ft_system_config_mgmt_verifying_config_with_save_reboot_sflow
