#,Module,Function,DUT,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
0,routing/VRF/test_vrf.py,test_VrfFun001_06,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
0,routing/VRF/test_vrf.py,test_VrfFun001_06,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,routing/VRF/test_vrf.py,test_VrfFun_26_27,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,routing/VRF/test_vrf.py,test_VrfFun_26_27,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,routing/VRF/test_vrf.py,test_VrfFun_10_12_14,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,routing/VRF/test_vrf.py,test_VrfFun_10_12_14,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,routing/VRF/test_vrf.py,test_VrfFun_20_24_25_32_33_44_45,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,routing/VRF/test_vrf.py,test_VrfFun_20_24_25_32_33_44_45,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
4,routing/VRF/test_vrf.py,test_VrfFun_05_50,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
4,routing/VRF/test_vrf.py,test_VrfFun_05_50,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
5,routing/VRF/test_vrf.py,--Module--,V3,NE,NE,NE,NE,NE,NE
5,routing/VRF/test_vrf.py,--Module--,V4,NE,NE,NE,NE,NE,NE
0,routing/VRF/test_vrf_scale.py,test_vrf_scale,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
0,routing/VRF/test_vrf_scale.py,test_vrf_scale,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,routing/VRF/test_vrf_scale.py,test_vrf_route_leak,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,routing/VRF/test_vrf_scale.py,test_vrf_route_leak,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,routing/VRF/test_vrf_scale.py,test_vrf_bgp,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,routing/VRF/test_vrf_scale.py,test_vrf_bgp,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,routing/VRF/test_vrf_scale.py,test_vrf_reload,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,routing/VRF/test_vrf_scale.py,test_vrf_reload,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
4,routing/VRF/test_vrf_scale.py,--Module--,V3,NE,NE,NE,NE,NE,NE
4,routing/VRF/test_vrf_scale.py,--Module--,V4,NE,NE,NE,NE,NE,NE
0,sanity/test_sanity_l3.py,test_l2_to_l3_port,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
0,sanity/test_sanity_l3.py,test_l2_to_l3_port,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,sanity/test_sanity_l3.py,--Module--,V3,NE,NE,NE,NE,NE,NE
1,sanity/test_sanity_l3.py,--Module--,V4,NE,NE,NE,NE,NE,NE
