#,Module,Devices,Models,Chips,TGen,Count,Pass,Rate,Time
1,routing/NAT/test_nat.py,V3,UNKNOWN,VS,scapy,3,3,100.00%,0:02:39
2,routing/test_l3_performance.py,V3,UNKNOWN,VS,scapy,8,6,75.00%,0:05:30
3,system/test_device_mgmt.py,V3,UNKNOWN,VS,scapy,1,1,100.00%,0:01:42
4,qos/test_qos_save_reboot.py,V3,UNKNOWN,VS,scapy,8,8,100.00%,0:07:10
5,routing/test_ndp.py,V3,UNKNOWN,VS,scapy,3,3,100.00%,0:02:50
6,routing/test_arp.py,V3,UNKNOWN,VS,scapy,1,1,100.00%,0:02:44
