Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,77.27%,132,102,30,2,78.46%,3:04:19,0,0.00%,0.00%,0.00%,1.52%,5:56:57
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:04:46,0,0.00%,0.00%,0.00%,0.00%,0:09:32
RIF Counters,50.00%,4,2,2,1,66.67%,0:02:09,0,0.00%,0.00%,0.00%,25.00%,0:04:18
sFlow Hardening,50.00%,4,2,2,0,50.00%,0:10:43,0,0.00%,0.00%,0.00%,0.00%,0:21:26
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Regression,75.53%,94,71,23,1,76.34%,1:37:19,0,0.00%,0.00%,0.00%,1.06%,3:05:33
VRF-Lite,100.00%,21,21,0,0,100.00%,0:32:19,0,0.00%,0.00%,0.00%,0.00%,1:04:38
NAT,100.00%,3,3,0,0,100.00%,0:02:36,0,0.00%,0.00%,0.00%,0.00%,0:02:36
L3 Scale and Performance,100.00%,2,2,0,0,100.00%,0:34:27,0,0.00%,0.00%,0.00%,0.00%,1:08:54
