Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,78.03%,132,103,29,2,79.23%,2:59:55,0,0.00%,0.00%,0.00%,1.52%,5:47:58
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:04:45,0,0.00%,0.00%,0.00%,0.00%,0:09:30
sFlow Hardening,50.00%,4,2,2,0,50.00%,0:10:36,0,0.00%,0.00%,0.00%,0.00%,0:21:12
RIF Counters,50.00%,4,2,2,1,66.67%,0:02:08,0,0.00%,0.00%,0.00%,25.00%,0:04:16
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Regression,76.60%,94,72,22,1,77.42%,1:33:33,0,0.00%,0.00%,0.00%,1.06%,2:57:48
VRF-Lite,100.00%,21,21,0,0,100.00%,0:34:58,0,0.00%,0.00%,0.00%,0.00%,1:09:56
NAT,100.00%,3,3,0,0,100.00%,0:02:34,0,0.00%,0.00%,0.00%,0.00%,0:02:34
L3 Scale and Performance,100.00%,2,2,0,0,100.00%,0:31:21,0,0.00%,0.00%,0.00%,0.00%,1:02:42
