Module Name,TC Pass Rate,TC Count,TC Pass,Sys Logs,CDT,FCLI,TSSH,DCNT,Prolog Time,Epilog Time,Func Time,Exec Time,Pass Rate,FCNT,Pass,Fail,Dut Fail,TGen Fail,Script Error,Not Supported,Config Fail,Env Fail,Dep Fail,Skipped,Timeout,Topo Fail,TS
,33.33%,9,3,0,0:07:55,2,0,2,0:01:28,0:01:03,0:05:24,0:07:55,66.67%,3,2,1,0,0,0,0,0,0,0,0,0,0,0
security/test_tacacs.py,0.00%,6,0,0,0:01:45,1,0,1,0:01:00,0:00:39,0:00:06,0:01:45,0.00%,1,0,1,0,0,0,0,0,0,0,0,0,0,0
system/test_ntp.py,100.00%,3,3,0,0:06:10,1,0,1,0:00:28,0:00:24,0:05:18,0:06:10,100.00%,2,2,0,0,0,0,0,0,0,0,0,0,0,0
