Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,66.67%,132,88,44,3,68.22%,2:58:49,0,0.76%,0.00%,0.00%,1.52%,5:53:22
L3 Scale and Performance,0.00%,2,0,2,0,0.00%,0:31:28,0,0.00%,0.00%,0.00%,0.00%,1:02:56
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:03:40,0,0.00%,0.00%,0.00%,0.00%,0:07:20
VRF-Lite,19.05%,21,4,17,0,19.05%,0:45:02,0,0.00%,0.00%,0.00%,0.00%,1:30:04
RIF Counters,50.00%,4,2,2,1,66.67%,0:03:14,0,0.00%,0.00%,0.00%,25.00%,0:06:28
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
sFlow Hardening,75.00%,4,3,1,0,75.00%,0:06:25,0,0.00%,0.00%,0.00%,0.00%,0:12:50
Regression,79.79%,94,75,19,2,81.52%,1:26:20,0,1.06%,0.00%,0.00%,1.06%,2:51:04
NAT,100.00%,3,3,0,0,100.00%,0:02:40,0,0.00%,0.00%,0.00%,0.00%,0:02:40
