#,Module,Function,TestCase,Node,Status
1,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v6_link_local_bgp,FtOtSoRtBgpPlFn006,gw2,Completed
2,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v6_link_local_bgp,FtOpSoSysImLogFn018,gw2,Completed
3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_clear,ft_bgp_sonic_show_summary_neigh,gw2,Completed
4,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_clear,ft_bgp_v4peer_asn4,gw2,Completed
5,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_clear,ft_bgp_v4peer_auth_simple,gw2,Completed
6,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_clear,ft_bgp_v4peer_sonic_clear,gw2,Completed
7,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_clear,ft_bgp_v4peer_vtysh_clear,gw2,Completed
8,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_clear,ft_bgp_v6peer_auth_simple,gw2,Completed
9,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_clear,ft_bgp_v6peer_sonic_clear,gw2,Completed
10,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_clear,ft_bgp_v6peer_vtysh_clear,gw2,Completed
11,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_peer_traffic_check,FtOtSoRtBgp4Fn025,gw2,Completed
12,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_peer_traffic_check,FtOtSoRtBgp4Fn049,gw2,Completed
13,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_peer_traffic_check,ft_bgp_update_delay_timer,gw2,Completed
14,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_peer_traffic_check,ft_ipv4_bgp_ibgp_ebgp_traffic,gw2,Completed
15,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_graceful_restart_and_aware_routers,FtOtSoRtBgp4Fn063,gw2,Completed
16,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_ipv4_no_route_aggregation_for_exact_prefix_match,FtOtSoRtBgp4Fn001,gw2,Completed
