#,Node,DUT,Name,Value,Platform,Chip,Build,Module,Function
1,gw2,V3,reboot,fast,x86_64-kvm_x86_64-r0,,SONiC.202111.443015-f2a2906b6,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_bgp_ebgp4_nbr_authentication
2,gw2,V4,reboot,normal,x86_64-kvm_x86_64-r0,,SONiC.202111.443015-f2a2906b6,system/test_sflow.py,test_ft_system_config_mgmt_verifying_config_with_save_reboot_sflow
3,gw3,V1,reboot,fast,x86_64-kvm_x86_64-r0,,SONiC.202111.443015-f2a2906b6,routing/VRF/test_vrf.py,test_VrfFun_05_50
4,gw3,V1,reboot,fast,x86_64-kvm_x86_64-r0,,SONiC.202111.443015-f2a2906b6,routing/VRF/test_vrf_scale.py,test_vrf_reload
