Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,82.03%,128,105,23,6,86.07%,2:59:52,0,3.12%,0.00%,0.00%,1.56%,5:49:24
NAT,0.00%,3,0,3,3,0.00%,0:13:14,0,100.00%,0.00%,0.00%,0.00%,0:13:14
L3 Scale and Performance,0.00%,2,0,2,0,0.00%,0:35:39,0,0.00%,0.00%,0.00%,0.00%,1:11:18
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,1,0.00%,0:00:00,0,100.00%,0.00%,0.00%,0.00%,0:00:00
RIF Counters,50.00%,4,2,2,1,66.67%,0:02:06,0,0.00%,0.00%,0.00%,25.00%,0:04:12
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
sFlow Hardening,75.00%,4,3,1,0,75.00%,0:10:46,0,0.00%,0.00%,0.00%,0.00%,0:21:32
VRF-Lite,80.95%,21,17,4,0,80.95%,0:43:22,0,0.00%,0.00%,0.00%,0.00%,1:26:44
Regression,91.11%,90,82,8,1,92.13%,1:14:45,0,0.00%,0.00%,0.00%,1.11%,2:32:24
