#,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
1,Regression,FtOpSoRtPerfFn052,Fail,Mapped,2024-01-06 02:30:02,Route table is not updated after advertising of routes on TG,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,routing/test_l3_performance.py,V3,
2,L3 Performance enhancements,FtOpSoRtPerfFn026,Fail,Mapped,2024-01-06 02:30:02,Route table is not updated after advertising of routes on TG,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,routing/test_l3_performance.py,V3,
3,L3 Performance enhancements,FtOpSoRtPerfFn025,Pass,SubTest,2024-01-06 02:30:02,Test case passed,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,routing/test_l3_performance.py,V3,
4,Regression,FtOpSoRtPerfFn053,Pass,SubTest,2024-01-06 02:30:02,Test case passed,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,routing/test_l3_performance.py,V3,
5,Regression,FtOpSoRtPerfFn055,Pass,Mapped,2024-01-06 02:31:16,Test case passed,test_cli_validation_ip_address,routing/test_l3_performance.py,V3,
6,Regression,FtOpSoRtPerfFn054,Pass,SubTest,2024-01-06 02:31:16,Test case passed,test_cli_validation_ip_address,routing/test_l3_performance.py,V3,
7,Regression,FtOpSoRtPerfFn057,Pass,Mapped,2024-01-06 02:31:38,Test case passed,test_cli_validation_bgp_router_config,routing/test_l3_performance.py,V3,
8,Regression,FtOpSoRtPerfFn056,Pass,SubTest,2024-01-06 02:31:38,Test case passed,test_cli_validation_bgp_router_config,routing/test_l3_performance.py,V3,
9,Regression,ft_ipv6_neighbor_static_entry,Fail,Mapped,2024-01-06 02:35:30,ndp table is not updated with the dynamic entry,test_ft_ipv6_neighbor_entry,routing/test_ndp.py,V3,
10,Regression,ft_ipv6_ndp_clear_cache,Fail,Mapped,2024-01-06 02:35:30,ndp table is not updated with the dynamic entry,test_ft_ipv6_neighbor_entry,routing/test_ndp.py,V3,
11,Regression,ft_ipv6_neighbor_entry,Fail,Mapped,2024-01-06 02:35:30,ndp table is not updated with the dynamic entry,test_ft_ipv6_neighbor_entry,routing/test_ndp.py,V3,
12,Regression,ft_ip_static_ip_on_mgmt_intrf,ScriptError,Mapped,2024-01-06 02:39:14,Exception SPyTestCmdException Command Exception: sudo -s ip route add default via None in file /spytest/net.py at line 1636,test_ft_ip_static_ip_on_mgmt_intrf,system/test_device_mgmt.py,V3,
