#,Node,Module,Function,Result,Test Time,Helper Time,CMD Time,TG Time,Wait,TGWait,PROMPT NFOUND,TECH SUPPORT,Description
1,gw4,routing/test_arp.py,test_ft_arp_dynamic_renew_traffic_test,,0:00:49,0:00:00.000,0:00:08.610,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
2,gw4,routing/test_arp.py,test_ft_arp_dynamic_renew_traffic_test,Pass,0:00:59,0:00:00.000,0:00:01.535,0:00:00.000,0:00:15,0:00:10,0,0,Test case passed
3,gw5,routing/test_ndp.py,test_ft_ipv6_neighbor_entry,,0:01:36,0:00:00.000,0:00:07.896,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
4,gw5,routing/test_ndp.py,test_ft_ipv6_neighbor_entry,Pass,0:00:16,0:00:00.000,0:00:07.565,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
5,gw7,routing/NAT/test_nat.py,test_ft_nat_docker_restart,,0:01:07,0:00:00.000,0:00:20.224,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
6,gw7,routing/NAT/test_nat.py,test_ft_nat_docker_restart,Pass,0:00:52,0:00:00.000,0:00:14.651,0:00:00.000,0:00:20,0:00:00,0,0,Test case passed
7,gw7,system/test_device_mgmt.py,test_ft_ip_static_ip_on_mgmt_intrf,,0:01:39,0:01:02.702,0:00:08.652,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
8,gw7,system/test_device_mgmt.py,test_ft_ip_static_ip_on_mgmt_intrf,Pass,0:00:22,0:00:00.000,0:00:07.249,0:00:00.000,0:00:05,0:00:00,0,0,Test case passed
9,gw6,routing/test_l3_performance.py,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,,0:00:48,0:00:00.000,0:00:16.179,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
10,gw6,routing/test_l3_performance.py,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,Fail,0:02:01,0:00:00.000,0:00:05.584,0:00:00.000,0:00:00,0:00:00,0,0,Route table is not updated after advertising of routes on TG
11,gw6,routing/test_l3_performance.py,test_cli_validation_ip_address,Pass,0:01:11,0:00:09.825,0:00:36.382,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
12,gw6,routing/test_l3_performance.py,test_cli_validation_bgp_router_config,Pass,0:00:23,0:00:00.000,0:00:06.676,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
13,gw6,qos/test_qos_save_reboot.py,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,,0:03:17,0:00:18.249,0:00:37.621,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
14,gw6,qos/test_qos_save_reboot.py,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,Pass,0:03:19,0:00:00.000,0:01:14.631,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
15,gw2,routing/VRF/test_vrf.py,test_VrfFun001_06,,0:08:06,0:00:00.000,0:02:40.476,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
16,gw2,routing/VRF/test_vrf.py,test_VrfFun001_06,Fail,0:00:39,0:00:00.000,0:00:25.469,0:00:00.000,0:00:00,0:00:00,0,0,STEP 12 FAIL: IPv4 BGP session on VRF-102 did not come up
17,gw2,routing/VRF/test_vrf.py,test_VrfFun_26_27,Pass,0:00:29,0:00:00.000,0:00:10.899,0:00:00.000,0:00:05,0:00:00,0,0,Test case passed
