#,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
1,VRF-Lite,FtOpSoRoVrfCli006,DUTFail,Mapped,2023-12-25 01:11:08,config command 'sudo sonic_installer list' failed,test_VrfFun001_06,routing/VRF/test_vrf.py,"V1, V2",
2,VRF-Lite,FtOpSoRoVrfCli001,DUTFail,Mapped,2023-12-25 01:11:08,config command 'sudo sonic_installer list' failed,test_VrfFun001_06,routing/VRF/test_vrf.py,"V1, V2",
3,VRF-Lite,FtOpSoRoVrfFun037,Pass,Mapped,2023-12-25 01:11:36,Test case passed,test_VrfFun_26_27,routing/VRF/test_vrf.py,"V1, V2",
4,VRF-Lite,FtOpSoRoVrfFun027,Pass,Mapped,2023-12-25 01:11:36,Test case passed,test_VrfFun_26_27,routing/VRF/test_vrf.py,"V1, V2",
5,VRF-Lite,FtOpSoRoVrfFun026,Pass,Mapped,2023-12-25 01:11:36,Test case passed,test_VrfFun_26_27,routing/VRF/test_vrf.py,"V1, V2",
6,VRF-Lite,FtOpSoRoVrfFun014,Pass,Mapped,2023-12-25 01:13:26,Test case passed,test_VrfFun_10_12_14,routing/VRF/test_vrf.py,"V1, V2",
7,VRF-Lite,FtOpSoRoVrfFun012,Pass,Mapped,2023-12-25 01:13:26,Test case passed,test_VrfFun_10_12_14,routing/VRF/test_vrf.py,"V1, V2",
8,VRF-Lite,FtOpSoRoVrfFun010,Pass,Mapped,2023-12-25 01:13:26,Test case passed,test_VrfFun_10_12_14,routing/VRF/test_vrf.py,"V1, V2",
9,VRF-Lite,FtOpSoRoVrfFun045,Pass,Mapped,2023-12-25 01:14:10,Test case passed,test_VrfFun_20_24_25_32_33_44_45,routing/VRF/test_vrf.py,"V1, V2",
10,VRF-Lite,FtOpSoRoVrfFun044,Pass,Mapped,2023-12-25 01:14:10,Test case passed,test_VrfFun_20_24_25_32_33_44_45,routing/VRF/test_vrf.py,"V1, V2",
11,VRF-Lite,FtOpSoRoVrfFun033,Pass,Mapped,2023-12-25 01:14:10,Test case passed,test_VrfFun_20_24_25_32_33_44_45,routing/VRF/test_vrf.py,"V1, V2",
12,VRF-Lite,FtOpSoRoVrfFun032,Pass,Mapped,2023-12-25 01:14:10,Test case passed,test_VrfFun_20_24_25_32_33_44_45,routing/VRF/test_vrf.py,"V1, V2",
13,VRF-Lite,FtOpSoRoVrfFun025,Pass,Mapped,2023-12-25 01:14:10,Test case passed,test_VrfFun_20_24_25_32_33_44_45,routing/VRF/test_vrf.py,"V1, V2",
14,VRF-Lite,FtOpSoRoVrfFun024,Pass,Mapped,2023-12-25 01:14:10,Test case passed,test_VrfFun_20_24_25_32_33_44_45,routing/VRF/test_vrf.py,"V1, V2",
15,VRF-Lite,FtOpSoRoVrfFun020,Pass,Mapped,2023-12-25 01:14:10,Test case passed,test_VrfFun_20_24_25_32_33_44_45,routing/VRF/test_vrf.py,"V1, V2",
16,VRF-Lite,FtOpSoRoVrfFun050,Pass,Mapped,2023-12-25 01:21:07,Test case passed,test_VrfFun_05_50,routing/VRF/test_vrf.py,"V1, V2",
17,VRF-Lite,FtOpSoRoVrfCli005,Pass,Mapped,2023-12-25 01:21:07,Test case passed,test_VrfFun_05_50,routing/VRF/test_vrf.py,"V1, V2",
18,Regression,FtOtSoRtBgpPlFn006,Pass,Mapped,2023-12-25 01:27:06,Test case passed,TestBGPRif.test_ft_bgp_v6_link_local_bgp,routing/BGP/test_bgp.py,"V1, V2",
19,In-Memory Debug Log,FtOpSoSysImLogFn018,Fail,SubTest,2023-12-25 01:27:06,Test case Failed.,TestBGPRif.test_ft_bgp_v6_link_local_bgp,routing/BGP/test_bgp.py,"V1, V2",
20,Regression,ft_bgp_v6peer_vtysh_clear,Pass,Mapped,2023-12-25 01:27:20,Test case passed,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V1, V2",
21,Regression,ft_bgp_v6peer_sonic_clear,Pass,Mapped,2023-12-25 01:27:20,Test case passed,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V1, V2",
22,Regression,ft_bgp_v6peer_auth_simple,Pass,Mapped,2023-12-25 01:27:20,Test case passed,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V1, V2",
23,Regression,ft_bgp_v4peer_vtysh_clear,Pass,Mapped,2023-12-25 01:27:20,Test case passed,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V1, V2",
24,Regression,ft_bgp_v4peer_sonic_clear,Pass,Mapped,2023-12-25 01:27:20,Test case passed,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V1, V2",
25,Regression,ft_bgp_v4peer_auth_simple,Pass,Mapped,2023-12-25 01:27:20,Test case passed,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V1, V2",
26,Regression,ft_bgp_v4peer_asn4,Pass,Mapped,2023-12-25 01:27:20,Test case passed,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V1, V2",
27,Regression,ft_bgp_sonic_show_summary_neigh,Pass,Mapped,2023-12-25 01:27:20,Test case passed,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V1, V2",
28,Regression,ft_ipv4_bgp_ibgp_ebgp_traffic,Pass,Mapped,2023-12-25 01:30:50,Test case passed,TestBGPRif.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V1, V2",
29,Regression,ft_bgp_update_delay_timer,Pass,Mapped,2023-12-25 01:30:50,Test case passed,TestBGPRif.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V1, V2",
30,Regression,FtOtSoRtBgp4Fn049,Pass,Mapped,2023-12-25 01:30:50,Test case passed,TestBGPRif.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V1, V2",
31,Regression,FtOtSoRtBgp4Fn025,Pass,Mapped,2023-12-25 01:30:50,Test case passed,TestBGPRif.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V1, V2",
32,Regression,FtOtSoRtBgp4Fn063,Pass,Mapped,2023-12-25 01:31:02,Test case passed,TestBGPRif.test_ft_bgp_graceful_restart_and_aware_routers,routing/BGP/test_bgp.py,"V1, V2",
33,Regression,FtOtSoRtBgp4Fn001,Fail,Mapped,2023-12-25 01:32:43,Test case Failed.,TestBGPRif.test_ft_bgp_ipv4_no_route_aggregation_for_exact_prefix_match,routing/BGP/test_bgp.py,"V1, V2",
34,Regression,FtOtSoRtBgp4Fn002,Pass,Mapped,2023-12-25 01:34:29,Test case passed,TestBGPRif.test_ft_bgp_ipv4_route_aggregation_atomic_aggregate_without_as_set,routing/BGP/test_bgp.py,"V1, V2",
35,Regression,FtOtSoRtBgp4Fn061,Pass,Mapped,2023-12-25 01:35:49,Test case passed,TestBGPRif.test_bgp_route_aggregation_4byteASN,routing/BGP/test_bgp.py,"V1, V2",
36,Regression,FtOtSoRtBgpPlFn001,Pass,Mapped,2023-12-25 01:36:51,Test case passed,TestBGPRif.test_ft_bgp_ipv6_route_aggregation_with_as_set,routing/BGP/test_bgp.py,"V1, V2",
37,Regression,FtOtSoRtBgp4Fn060,Pass,Mapped,2023-12-25 01:37:24,Test case passed,TestBGPRif.test_ft_bgp_v4_dyn_nbr,routing/BGP/test_bgp.py,"V1, V2",
38,Regression,FtOtSoRtBgpPlFn004,Pass,Mapped,2023-12-25 01:37:54,Test case passed,TestBGPRif.test_ft_bgp_v6_dyn_nbr,routing/BGP/test_bgp.py,"V1, V2",
39,Regression,FtOtSoRtBgp4Fn019,Pass,Mapped,2023-12-25 01:40:11,Test case passed,TestBGPRif.test_ft_bgp_v4_max_dyn_nbr,routing/BGP/test_bgp.py,"V1, V2",
40,Regression,FtOtSoRtBgp4Fn078,Pass,Mapped,2023-12-25 01:40:30,Test case passed,TestBGPRif.test_ft_bgp_rmap,routing/BGP/test_bgp.py,"V1, V2",
41,Regression,FtOtSoRtBgp4Fn034,Pass,Mapped,2023-12-25 01:42:27,The operation is successful,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_connected_ipv4,routing/BGP/test_bgp.py,"V1, V2",
42,Regression,FtOtSoRtBgp4Fn033,Pass,Mapped,2023-12-25 01:42:47,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_static_ipv4,routing/BGP/test_bgp.py,"V1, V2",
43,Regression,FtOtSoRtBgp4Fn018,Pass,Mapped,2023-12-25 01:43:02,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv4,routing/BGP/test_bgp.py,"V1, V2",
44,Regression,FtOtSoRtBgp4Fn077,Pass,Mapped,2023-12-25 01:43:17,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_in_ipv4,routing/BGP/test_bgp.py,"V1, V2",
45,Regression,FtOtSoRtBgp4Fn039,Pass,Mapped,2023-12-25 01:43:17,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_in_ipv4,routing/BGP/test_bgp.py,"V1, V2",
46,Regression,ft_bgp_outbound_routefilter,Pass,Mapped,2023-12-25 01:43:44,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_prefix_list_out_ipv4,routing/BGP/test_bgp.py,"V1, V2",
47,Regression,FtOtSoRtBgp4Fn036,Pass,Mapped,2023-12-25 01:43:44,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_prefix_list_out_ipv4,routing/BGP/test_bgp.py,"V1, V2",
48,Regression,FtOtSoRtBgp4Fn032,Pass,Mapped,2023-12-25 01:43:59,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_default_originate_ipv4,routing/BGP/test_bgp.py,"V1, V2",
49,Regression,FtOtSoRtBgp4Fn027,Unsupported,Mapped,2023-12-25 01:44:11,UI 'klish' unsupported router bgp 65001,TestBGPIPvxRouteAdvertisementFilter.test_route_map_in_ipv4,routing/BGP/test_bgp.py,"V1, V2",
50,Regression,ft_bgp_v6peer_route_redist_static_conn,Pass,Mapped,2023-12-25 01:44:29,The operation is successful,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_connected_ipv6,routing/BGP/test_bgp.py,"V1, V2",
51,Regression,bgp_redis_st_ipv6,Pass,Mapped,2023-12-25 01:44:55,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_static_ipv6,routing/BGP/test_bgp.py,"V1, V2",
52,Regression,ft_bgp_v6_as_path_acl,Pass,Mapped,2023-12-25 01:45:09,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv6,routing/BGP/test_bgp.py,"V1, V2",
53,Regression,FtOtSoRtBgpPlFn014,Pass,Mapped,2023-12-25 01:45:09,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv6,routing/BGP/test_bgp.py,"V1, V2",
54,Regression,FtOtSoRtBgpPlFn012,Pass,Mapped,2023-12-25 01:45:09,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv6,routing/BGP/test_bgp.py,"V1, V2",
55,Regression,FtOtSoRtBgpPlFn007,Pass,Mapped,2023-12-25 01:45:24,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_in_ipv6,routing/BGP/test_bgp.py,"V1, V2",
56,Regression,FtOtSoRtBgpPlFn016,Pass,Mapped,2023-12-25 01:45:40,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_prefix_list_out_ipv6,routing/BGP/test_bgp.py,"V1, V2",
57,Regression,FtOtSoRtBgpPlFn018,Pass,Mapped,2023-12-25 01:45:55,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_out_ipv6,routing/BGP/test_bgp.py,"V1, V2",
58,Regression,bgp_default_ipv6,Pass,Mapped,2023-12-25 01:46:10,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_default_originate_ipv6,routing/BGP/test_bgp.py,"V1, V2",
