#,Node,Module,Devices,Models,Chips,TGen,Count,Pass,Rate,Time
1,gw4,routing/NAT/test_nat.py,V2,UNKNOWN,VS,scapy,3,3,100.00%,0:02:36
2,gw4,routing/test_arp.py,V2,UNKNOWN,VS,scapy,1,1,100.00%,0:03:59
3,gw5,routing/test_l3_performance.py,V1,UNKNOWN,VS,scapy,8,6,75.00%,0:05:02
4,gw5,system/test_device_mgmt.py,V1,UNKNOWN,VS,scapy,1,1,100.00%,0:01:43
5,gw7,routing/test_ndp.py,V4,UNKNOWN,VS,scapy,3,3,100.00%,0:02:25
6,gw6,qos/test_qos_save_reboot.py,V3,UNKNOWN,VS,scapy,8,8,100.00%,0:06:38
7,gw2,routing/VRF/test_vrf.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,17,3,17.65%,0:20:09
8,gw2,routing/VRF/test_vrf_scale.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,6,1,16.67%,0:54:50
9,gw1,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4","UNKNOWN, UNKNOWN, UNKNOWN, UNKNOWN","VS, VS, VS, VS",scapy,6,6,100.00%,0:09:06
10,gw3,routing/BGP/test_bgp.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,52,48,92.31%,0:38:37
11,gw3,routing/test_ip.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,21,7,33.33%,0:09:13
12,gw3,system/test_sflow.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,4,3,75.00%,0:06:17
13,gw3,routing/BGP/test_bgp_rr_traffic.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,1,1,100.00%,0:08:02
14,gw3,sanity/test_sanity_l3.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,1,0,0.00%,0:03:38
