Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,68.94%,132,91,41,2,70.00%,2:52:15,0,0.00%,0.00%,0.00%,1.52%,5:40:19
L3 Scale and Performance,0.00%,2,0,2,0,0.00%,0:30:04,0,0.00%,0.00%,0.00%,0.00%,1:00:08
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:03:38,0,0.00%,0.00%,0.00%,0.00%,0:07:16
VRF-Lite,19.05%,21,4,17,0,19.05%,0:44:55,0,0.00%,0.00%,0.00%,0.00%,1:29:50
RIF Counters,50.00%,4,2,2,1,66.67%,0:02:07,0,0.00%,0.00%,0.00%,25.00%,0:04:14
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
sFlow Hardening,75.00%,4,3,1,0,75.00%,0:06:17,0,0.00%,0.00%,0.00%,0.00%,0:12:34
Regression,82.98%,94,78,16,1,83.87%,1:22:38,0,0.00%,0.00%,0.00%,1.06%,2:43:41
NAT,100.00%,3,3,0,0,100.00%,0:02:36,0,0.00%,0.00%,0.00%,0.00%,0:02:36
