#,Module,Function,DUT,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
0,routing/VRF/test_vrf.py,test_VrfFun001_06,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
0,routing/VRF/test_vrf.py,test_VrfFun001_06,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,routing/VRF/test_vrf.py,test_VrfFun_26_27,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,routing/VRF/test_vrf.py,test_VrfFun_26_27,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,routing/VRF/test_vrf.py,test_VrfFun_10_12_14,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,routing/VRF/test_vrf.py,test_VrfFun_10_12_14,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,routing/VRF/test_vrf.py,test_VrfFun_20_24_25_32_33_44_45,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,routing/VRF/test_vrf.py,test_VrfFun_20_24_25_32_33_44_45,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
4,routing/VRF/test_vrf.py,test_VrfFun_05_50,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
4,routing/VRF/test_vrf.py,test_VrfFun_05_50,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
5,routing/VRF/test_vrf.py,--Module--,V1,NE,NE,NE,NE,NE,NE
5,routing/VRF/test_vrf.py,--Module--,V2,NE,NE,NE,NE,NE,NE
0,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v6_link_local_bgp,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
0,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v6_link_local_bgp,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_clear,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_clear,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_peer_traffic_check,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_peer_traffic_check,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_graceful_restart_and_aware_routers,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_graceful_restart_and_aware_routers,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
4,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_ipv4_no_route_aggregation_for_exact_prefix_match,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
4,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_ipv4_no_route_aggregation_for_exact_prefix_match,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
5,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_ipv4_route_aggregation_atomic_aggregate_without_as_set,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
5,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_ipv4_route_aggregation_atomic_aggregate_without_as_set,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
6,routing/BGP/test_bgp.py,TestBGPRif::test_bgp_route_aggregation_4byteASN,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
6,routing/BGP/test_bgp.py,TestBGPRif::test_bgp_route_aggregation_4byteASN,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_ipv6_route_aggregation_with_as_set,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_ipv6_route_aggregation_with_as_set,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
8,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v4_dyn_nbr,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
8,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v4_dyn_nbr,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
