#,Module,DUTs,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
1,routing/VRF/test_vrf.py,2,NE,NE,NE,NE,NE,NE
2,routing/BGP/test_bgp.py,2,NE,NE,NE,NE,NE,NE
3,routing/test_ip.py,2,NE,NE,NE,NE,NE,NE
4,sanity/test_sanity_l3.py,2,NE,NE,NE,NE,NE,NE
5,routing/BGP/test_bgp_rr_traffic.py,2,NE,NE,NE,NE,NE,NE
