Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,76.92%,91,70,21,2,78.65%,1:16:50,0,0.00%,0.00%,0.00%,2.20%,2:33:40
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
RIF Counters,50.00%,4,2,2,1,66.67%,0:02:08,0,0.00%,0.00%,0.00%,25.00%,0:04:16
Regression,73.91%,69,51,18,1,75.00%,0:59:09,0,0.00%,0.00%,0.00%,1.45%,1:58:18
VRF-Lite,100.00%,17,17,0,0,100.00%,0:15:33,0,0.00%,0.00%,0.00%,0.00%,0:31:06
