Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,66.28%,86,57,29,7,72.15%,1:40:16,0,8.14%,0.00%,0.00%,0.00%,2:56:35
Control Plane ACL,0.00%,3,0,3,3,0.00%,0:13:07,0,100.00%,0.00%,0.00%,0.00%,0:26:14
warmboot,0.00%,3,0,3,0,0.00%,0:28:24,0,0.00%,0.00%,0.00%,0.00%,0:56:48
In-Memory Debug Log,0.00%,1,0,1,1,0.00%,0:00:19,0,100.00%,0.00%,0.00%,0.00%,0:00:19
Regression,59.18%,49,29,20,2,61.70%,0:54:47,0,4.08%,0.00%,0.00%,0.00%,1:29:14
SNMP MIB and Traps,66.67%,3,2,1,1,100.00%,0:00:11,0,33.33%,0.00%,0.00%,0.00%,0:00:11
SNMP Agent Optimization,95.83%,24,23,1,0,95.83%,0:02:07,0,0.00%,0.00%,0.00%,0.00%,0:02:07
PortChannel Config Enhancements,100.00%,1,1,0,0,100.00%,0:00:21,0,0.00%,0.00%,0.00%,0.00%,0:00:42
Instrumentation,100.00%,1,1,0,0,100.00%,0:01:00,0,0.00%,0.00%,0.00%,0.00%,0:01:00
Instrumentation Enhancements,100.00%,1,1,0,0,100.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
