#,Module,Function,TestCase,Node,Type
1,routing/BGP/test_bgp_rr_traffic.py,TestBGPRrTraffic::test_ft_bgp6_rr_traffic_check,FtOtSoRtBgpPlFn025,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
2,routing/test_arp.py,test_ft_arp_dynamic_renew_traffic_test,ft_arp_dynamic_renew_traffic_test,<a href='gw4/results_logs.log'>gw4</a>,FULL
