#,Node,Module,Devices,Models,Chips,TGen,Count,Pass,Rate,Time
1,gw4,routing/test_ndp.py,V4,UNKNOWN,VS,scapy,3,3,100.00%,0:01:45
2,gw4,qos/test_qos_save_reboot.py,V4,UNKNOWN,VS,scapy,8,8,100.00%,0:08:50
3,gw6,routing/test_l3_performance.py,V1,UNKNOWN,VS,scapy,8,6,75.00%,0:04:16
4,gw2,routing/VRF/test_vrf_scale.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,6,2,33.33%,1:01:18
5,gw2,routing/test_ip.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,21,15,71.43%,0:10:14
6,gw2,sanity/test_sanity_l3.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,1,0,0.00%,0:04:02
7,gw1,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4","UNKNOWN, UNKNOWN, UNKNOWN, UNKNOWN","VS, VS, VS, VS",scapy,6,6,100.00%,0:08:18
8,gw3,routing/BGP/test_bgp.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,52,48,92.31%,0:40:45
9,gw3,routing/VRF/test_vrf.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,17,15,88.24%,0:18:22
10,gw3,system/test_sflow.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,4,3,75.00%,0:10:46
