#,Module,Function,Result,Test Time,Helper Time,CMD Time,TG Time,Wait,TGWait,PROMPT NFOUND,TECH SUPPORT,Description
30,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_bgp_ebgp4_nbr_update_source,Pass,0:00:33,0:00:00.000,0:00:14.361,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
31,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_bgp_ebgp4_nbr_authentication,Pass,0:06:35,0:00:00.000,0:00:21.453,0:00:00.000,0:05:33,0:00:00,0,0,Test case passed
32,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_route_aggregate_ipv6,Pass,0:00:26,0:00:00.000,0:00:11.432,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
33,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_static_blackhole_rt_redistribute_with_routemap_ipv6,Pass,0:00:19,0:00:00.000,0:00:07.374,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
34,routing/BGP/test_bgp.py,TestBGPVeLag::test_ft_bgp_clear,Pass,0:00:14,0:00:00.000,0:00:03.871,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
35,routing/BGP/test_bgp.py,TestBGPVeLag::test_ft_bgp_peer_traffic_check,Pass,0:03:31,0:00:00.000,0:00:11.258,0:00:00.000,0:01:00,0:00:40,0,0,Test case passed
36,routing/BGP/test_bgp.py,TestBGPL3Lag::test_ft_bgp_l3lag_peer_traffic_check,Pass,0:03:28,0:00:00.000,0:00:09.267,0:00:00.000,0:01:00,0:00:40,0,0,Test case passed
37,routing/VRF/test_vrf.py,test_VrfFun001_06,,0:08:03,0:00:35.284,0:02:42.957,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
38,routing/VRF/test_vrf.py,test_VrfFun001_06,DUTFail,0:00:10,0:00:00.000,0:00:01.844,0:00:00.000,0:00:00,0:00:00,0,0,config command 'sudo sonic_installer list' failed
39,routing/VRF/test_vrf.py,test_VrfFun_26_27,Pass,0:00:27,0:00:00.000,0:00:10.951,0:00:00.000,0:00:05,0:00:00,0,0,Test case passed
40,routing/VRF/test_vrf.py,test_VrfFun_10_12_14,Pass,0:01:50,0:00:00.000,0:01:35.181,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
41,routing/VRF/test_vrf.py,test_VrfFun_20_24_25_32_33_44_45,Pass,0:00:44,0:00:00.000,0:00:41.644,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
42,routing/VRF/test_vrf.py,test_VrfFun_05_50,Pass,0:06:58,0:00:00.000,0:00:13.184,0:00:00.000,0:06:10,0:00:00,0,0,Test case passed
