Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,78.74%,127,100,27,9,84.75%,2:52:22,0,5.51%,0.00%,0.00%,1.57%,5:36:15
sFlow Hardening,0.00%,4,0,4,4,0.00%,0:00:00,0,100.00%,0.00%,0.00%,0.00%,0:00:00
NAT,0.00%,3,0,3,3,0.00%,0:13:12,0,100.00%,0.00%,0.00%,0.00%,0:13:12
L3 Scale and Performance,0.00%,2,0,2,0,0.00%,0:35:26,0,0.00%,0.00%,0.00%,0.00%,1:10:52
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:04:00,0,0.00%,0.00%,0.00%,0.00%,0:08:00
RIF Counters,50.00%,4,2,2,1,66.67%,0:02:09,0,0.00%,0.00%,0.00%,25.00%,0:04:18
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
VRF-Lite,80.95%,21,17,4,0,80.95%,0:43:53,0,0.00%,0.00%,0.00%,0.00%,1:27:46
Regression,89.89%,89,80,9,1,90.91%,1:13:42,0,0.00%,0.00%,0.00%,1.12%,2:32:07
