Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,66.67%,132,88,44,3,68.22%,2:53:42,0,0.76%,0.00%,0.00%,1.52%,5:43:06
L3 Scale and Performance,0.00%,2,0,2,0,0.00%,0:30:10,0,0.00%,0.00%,0.00%,0.00%,1:00:20
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:03:38,0,0.00%,0.00%,0.00%,0.00%,0:07:16
VRF-Lite,19.05%,21,4,17,0,19.05%,0:45:08,0,0.00%,0.00%,0.00%,0.00%,1:30:16
RIF Counters,50.00%,4,2,2,1,66.67%,0:03:00,0,0.00%,0.00%,0.00%,25.00%,0:06:00
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
sFlow Hardening,75.00%,4,3,1,0,75.00%,0:06:30,0,0.00%,0.00%,0.00%,0.00%,0:13:00
Regression,79.79%,94,75,19,2,81.52%,1:22:40,0,1.06%,0.00%,0.00%,1.06%,2:43:38
NAT,100.00%,3,3,0,0,100.00%,0:02:36,0,0.00%,0.00%,0.00%,0.00%,0:02:36
