Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,33.33%,6,2,4,0,33.33%,1:01:58,0,0.00%,0.00%,0.00%,0.00%,2:03:56
L3 Scale and Performance,0.00%,2,0,2,0,0.00%,0:36:30,0,0.00%,0.00%,0.00%,0.00%,1:13:00
VRF-Lite,50.00%,4,2,2,0,50.00%,0:25:28,0,0.00%,0.00%,0.00%,0.00%,0:50:56
