#,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
11,Regression,ft_ipv4_bgp_ibgp_ebgp_traffic,Pass,Mapped,2024-01-06 23:12:13,Test case passed,TestBGPRif.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",
12,Regression,ft_bgp_update_delay_timer,Pass,Mapped,2024-01-06 23:12:13,Test case passed,TestBGPRif.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",
13,Regression,FtOtSoRtBgp4Fn049,Pass,Mapped,2024-01-06 23:12:13,Test case passed,TestBGPRif.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",
14,Regression,FtOtSoRtBgp4Fn025,Pass,Mapped,2024-01-06 23:12:13,Test case passed,TestBGPRif.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",
15,Regression,FtOtSoRtBgp4Fn063,Pass,Mapped,2024-01-06 23:12:26,Test case passed,TestBGPRif.test_ft_bgp_graceful_restart_and_aware_routers,routing/BGP/test_bgp.py,"V3, V4",
16,Regression,FtOtSoRtBgp4Fn001,Fail,Mapped,2024-01-06 23:14:10,Test case Failed.,TestBGPRif.test_ft_bgp_ipv4_no_route_aggregation_for_exact_prefix_match,routing/BGP/test_bgp.py,"V3, V4",
17,Regression,FtOtSoRtBgp4Fn002,Fail,Mapped,2024-01-06 23:15:57,Could not aggregate BGP prefix 123.1.0.0/16,TestBGPRif.test_ft_bgp_ipv4_route_aggregation_atomic_aggregate_without_as_set,routing/BGP/test_bgp.py,"V3, V4",
18,Regression,FtOtSoRtBgp4Fn061,Fail,Mapped,2024-01-06 23:16:38,Test case Failed Neighbour is failed to Establish between Leaf - TG,TestBGPRif.test_bgp_route_aggregation_4byteASN,routing/BGP/test_bgp.py,"V3, V4",
19,Regression,FtOtSoRtBgpPlFn001,Fail,Mapped,2024-01-06 23:17:33,bgp route 6002:1::0/64 info not found,TestBGPRif.test_ft_bgp_ipv6_route_aggregation_with_as_set,routing/BGP/test_bgp.py,"V3, V4",
20,Regression,FtOtSoRtBgp4Fn060,Pass,Mapped,2024-01-06 23:18:07,Test case passed,TestBGPRif.test_ft_bgp_v4_dyn_nbr,routing/BGP/test_bgp.py,"V3, V4",
21,Regression,FtOtSoRtBgpPlFn004,Pass,Mapped,2024-01-06 23:18:39,Test case passed,TestBGPRif.test_ft_bgp_v6_dyn_nbr,routing/BGP/test_bgp.py,"V3, V4",
22,Regression,FtOtSoRtBgp4Fn019,Fail,Mapped,2024-01-06 23:23:31,Test case Failed Failed to form BGP peering using max dynamic ipv4 neighbors,TestBGPRif.test_ft_bgp_v4_max_dyn_nbr,routing/BGP/test_bgp.py,"V3, V4",
23,Regression,FtOtSoRtBgp4Fn078,Pass,Mapped,2024-01-06 23:23:51,Test case passed,TestBGPRif.test_ft_bgp_rmap,routing/BGP/test_bgp.py,"V3, V4",
24,Regression,FtOtSoRtBgp4Fn034,Fail,Mapped,2024-01-06 23:25:51,The operation is failed.,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_connected_ipv4,routing/BGP/test_bgp.py,"V3, V4",
25,Regression,FtOtSoRtBgp4Fn033,Fail,Mapped,2024-01-06 23:26:14,static on dut1 is not a subset of dut1 learned route on dut2,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_static_ipv4,routing/BGP/test_bgp.py,"V3, V4",
26,Regression,FtOtSoRtBgp4Fn018,Pass,Mapped,2024-01-06 23:26:29,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv4,routing/BGP/test_bgp.py,"V3, V4",
27,Regression,FtOtSoRtBgp4Fn077,Pass,Mapped,2024-01-06 23:26:44,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_in_ipv4,routing/BGP/test_bgp.py,"V3, V4",
28,Regression,FtOtSoRtBgp4Fn039,Pass,Mapped,2024-01-06 23:26:44,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_in_ipv4,routing/BGP/test_bgp.py,"V3, V4",
29,Regression,ft_bgp_outbound_routefilter,Pass,Mapped,2024-01-06 23:27:12,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_prefix_list_out_ipv4,routing/BGP/test_bgp.py,"V3, V4",
30,Regression,FtOtSoRtBgp4Fn036,Pass,Mapped,2024-01-06 23:27:12,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_prefix_list_out_ipv4,routing/BGP/test_bgp.py,"V3, V4",
31,Regression,FtOtSoRtBgp4Fn032,Fail,Mapped,2024-01-06 23:27:28,default route not advertised,TestBGPIPvxRouteAdvertisementFilter.test_default_originate_ipv4,routing/BGP/test_bgp.py,"V3, V4",
32,Regression,FtOtSoRtBgp4Fn027,Unsupported,Mapped,2024-01-06 23:27:40,UI 'klish' unsupported router bgp 65001,TestBGPIPvxRouteAdvertisementFilter.test_route_map_in_ipv4,routing/BGP/test_bgp.py,"V3, V4",
33,Regression,ft_bgp_v6peer_route_redist_static_conn,Fail,Mapped,2024-01-06 23:28:00,The operation is failed.,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_connected_ipv6,routing/BGP/test_bgp.py,"V3, V4",
34,Regression,bgp_redis_st_ipv6,Fail,Mapped,2024-01-06 23:28:22,static on dut1 is not a subset of dut1 learned route on dut2,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_static_ipv6,routing/BGP/test_bgp.py,"V3, V4",
35,Regression,ft_bgp_v6_as_path_acl,Pass,Mapped,2024-01-06 23:28:37,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv6,routing/BGP/test_bgp.py,"V3, V4",
36,Regression,FtOtSoRtBgpPlFn014,Pass,Mapped,2024-01-06 23:28:37,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv6,routing/BGP/test_bgp.py,"V3, V4",
37,Regression,FtOtSoRtBgpPlFn012,Pass,Mapped,2024-01-06 23:28:37,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv6,routing/BGP/test_bgp.py,"V3, V4",
38,Regression,FtOtSoRtBgpPlFn007,Pass,Mapped,2024-01-06 23:28:52,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_in_ipv6,routing/BGP/test_bgp.py,"V3, V4",
39,Regression,FtOtSoRtBgpPlFn016,Pass,Mapped,2024-01-06 23:29:09,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_prefix_list_out_ipv6,routing/BGP/test_bgp.py,"V3, V4",
40,Regression,FtOtSoRtBgpPlFn018,Pass,Mapped,2024-01-06 23:29:25,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_out_ipv6,routing/BGP/test_bgp.py,"V3, V4",
41,Regression,bgp_default_ipv6,Fail,Mapped,2024-01-06 23:29:42,default route not advertised,TestBGPIPvxRouteAdvertisementFilter.test_default_originate_ipv6,routing/BGP/test_bgp.py,"V3, V4",
42,Regression,FtOtSoRtBgpPlFn038,Fail,Mapped,2024-01-06 23:30:04,Entry not found,TestBGPIPvxRouteAdvertisementFilter.test_route_map_in_ipv6,routing/BGP/test_bgp.py,"V3, V4",
43,Regression,FtOtSoRtBgp4Fn016,Pass,Mapped,2024-01-06 23:30:28,The operation is successful,TestBGPIPvxRouteAdvertisementFilter.test_bgp_route_map_with_community,routing/BGP/test_bgp.py,"V3, V4",
44,Regression,FtOtSoRtBgp4Fn014,Pass,Mapped,2024-01-06 23:31:02,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_bgp_ebgp4_nbr_update_source,routing/BGP/test_bgp.py,"V3, V4",
45,Regression,FtOtSoRtBgp4Fn015,Pass,Mapped,2024-01-06 23:37:23,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_bgp_ebgp4_nbr_authentication,routing/BGP/test_bgp.py,"V3, V4",
46,Regression,FtOtSoRtBgpPlFn002,Fail,Mapped,2024-01-06 23:37:50,Test case Failed.,TestBGPIPvxRouteAdvertisementFilter.test_route_aggregate_ipv6,routing/BGP/test_bgp.py,"V3, V4",
47,Regression,FtOtSoRtBgpPlFn005,Fail,Mapped,2024-01-06 23:38:05,Entry not found,TestBGPIPvxRouteAdvertisementFilter.test_static_blackhole_rt_redistribute_with_routemap_ipv6,routing/BGP/test_bgp.py,"V3, V4",
48,Regression,bgp_lag_clear,Pass,Mapped,2024-01-06 23:39:59,Test case passed,TestBGPVeLag.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V3, V4",
49,Regression,FtOtSoRtBgpPlFn032,Pass,Mapped,2024-01-06 23:43:30,Test case passed,TestBGPVeLag.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",
50,Regression,FtOtSoRtBgp4Fn070,Pass,Mapped,2024-01-06 23:43:30,Test case passed,TestBGPVeLag.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",
51,Regression,FtOtSoRtBgp4Fn069,Pass,Mapped,2024-01-06 23:43:30,Test case passed,TestBGPVeLag.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",
52,Regression,bgpl3lag_traffic,Pass,Mapped,2024-01-06 23:48:06,Test case passed,TestBGPL3Lag.test_ft_bgp_l3lag_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",
53,Regression,FtOpSoRtIpv4Fn003,Fail,Mapped,2024-01-06 23:57:49,Test case Failed.,test_l3_v4_route_po_1,routing/test_ip.py,"V3, V4",
54,Regression,ft_ipv4_address_check ,Pass,Mapped,2024-01-06 23:57:57,Test case passed,test_ft_ping_v4_v6_vlan,routing/test_ip.py,"V3, V4",
55,Regression,ft_ipv6_address_check ,Pass,Mapped,2024-01-06 23:57:57,Test case passed,test_ft_ping_v4_v6_vlan,routing/test_ip.py,"V3, V4",
56,Regression,ft_ping_vlan ,Pass,Mapped,2024-01-06 23:57:57,Test case passed,test_ft_ping_v4_v6_vlan,routing/test_ip.py,"V3, V4",
57,Regression,CETA_SONIC_40640,Pass,Mapped,2024-01-06 23:58:21,Test case passed,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V3, V4",
58,Regression,ft_ip_address_check_pc,Pass,Mapped,2024-01-06 23:58:21,Test case passed,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V3, V4",
59,Regression,ft_ip6_address_check_pc,Pass,Mapped,2024-01-06 23:58:21,Test case passed,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V3, V4",
60,Regression,ft_ping6_after_ip_change,Pass,Mapped,2024-01-06 23:58:21,Test case passed,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V3, V4",
61,Regression,ft_ping_after_ip_change,Pass,Mapped,2024-01-06 23:58:21,Test case passed,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V3, V4",
62,RIF Counters,RIF_COUNT_FUNC_0031,Fail,Mapped,2024-01-06 23:59:32,traffic verification is failed,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V3, V4",
63,Regression,ft_ip6_static_route_traffic_forward ,Fail,Mapped,2024-01-06 23:59:32,traffic verification is failed,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V3, V4",
64,Regression,ft_ip6_static_route_traffic_fwd_blackhole ,Fail,Mapped,2024-01-06 23:59:32,traffic verification is failed,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V3, V4",
65,Regression,ft_ip6_connected_host_traffic_forward,Fail,Mapped,2024-01-06 23:59:32,traffic verification is failed,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V3, V4",
66,RIF Counters,RIF_COUNT_FUNC_001,Unsupported,SubTest,2024-01-06 23:59:32,rif counters update unsupported on Physical-Interface routing interface,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V3, V4",
67,Regression,ft_ip_static_route_traffic_forward,Pass,Mapped,2024-01-07 00:00:29,Test case passed,test_ft_ip_static_route_traffic_forward,routing/test_ip.py,"V3, V4",
68,RIF Counters,RIF_COUNT_FUNC_001,Pass,SubTest,2024-01-07 00:00:29,rif counters update Successful on Physical_Interface routing interface,test_ft_ip_static_route_traffic_forward,routing/test_ip.py,"V3, V4",
69,RIF Counters,RIF_COUNT_FUNC_021,Pass,SubTest,2024-01-07 00:00:29,rif counters update Successful on Phy_Shut_noShut routing interface,test_ft_ip_static_route_traffic_forward,routing/test_ip.py,"V3, V4",
70,Regression,ft_ip6_L2_L3_translation,Pass,Mapped,2024-01-07 00:02:05,Test case passed,test_ft_ip_v4_v6_L2_L3_translation,routing/test_ip.py,"V3, V4",
71,Regression,ft_ip_L2_L3_translation,Pass,Mapped,2024-01-07 00:02:05,Test case passed,test_ft_ip_v4_v6_L2_L3_translation,routing/test_ip.py,"V3, V4",
72,Regression,ipv6_intf_order,Pass,Mapped,2024-01-07 00:02:40,Test case passed,test_ft_verify_interfaces_order,routing/test_ip.py,"V3, V4",
73,Regression,ipv4_intf_order,Pass,Mapped,2024-01-07 00:02:40,Test case passed,test_ft_verify_interfaces_order,routing/test_ip.py,"V3, V4",
74,sFlow Hardening,FtOpSfFn008,Pass,SubTest,2024-01-07 00:12:03,Successfully verified sFlow sampling functionality.,test_ft_sflow_sampling_v6_sFlow_collector,system/test_sflow.py,"V3, V4",
75,sFlow Hardening,FtOpSfFn004,Fail,SubTest,2024-01-07 00:12:03,sFlow collector failed to receive sflow sample packets with default sampling rate.,test_ft_sflow_sampling_v6_sFlow_collector,system/test_sflow.py,"V3, V4",
76,sFlow Hardening,FtOpSfFn005,Pass,Mapped,2024-01-07 00:12:38,Successfully verified sFlow sampling functionality.,test_ft_sflow_max_sflow_collector_config,system/test_sflow.py,"V3, V4",
77,sFlow Hardening,FtOpSfFn017,Fail,Mapped,2024-01-07 00:16:11,"Command 'sudo vtysh' failed to give required prompt, recovered using CR",test_ft_system_config_mgmt_verifying_config_with_save_reboot_sflow,system/test_sflow.py,"V3, V4",
78,Regression,FtOtSoRtBgpPlFn025,Pass,Mapped,2024-01-07 00:27:41,Test case passed,TestBGPRrTraffic.test_ft_bgp6_rr_traffic_check,routing/BGP/test_bgp_rr_traffic.py,"V3, V4",
