#,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
1,Regression,ft_snmp_sysName,Fail,Mapped,2024-01-01 03:19:17,sysname output is not in sync between system and snmp,test_ft_snmp_sysName,system/test_snmp.py,V3,
2,Regression,ft_snmp_test_syUpTime,Pass,Mapped,2024-01-01 03:19:22,Test case passed,test_ft_snmp_test_syUpTime,system/test_snmp.py,V3,
3,Regression,ft_snmp_sysDescr,Pass,Mapped,2024-01-01 03:19:30,Test case passed,test_ft_snmp_sysDescr,system/test_snmp.py,V3,
4,Regression,FtOpSoSySnFn008,Pass,Mapped,2024-01-01 03:19:40,Test case passed,test_ft_snmp_mib_2,system/test_snmp.py,V3,
5,Regression,FtOpSoSySnFn009,Pass,Mapped,2024-01-01 03:19:45,Test case passed,test_ft_snmp_if_mib_all,system/test_snmp.py,V3,
6,Regression,FtOpSoSySnFn010,Pass,Mapped,2024-01-01 03:19:50,Test case passed,test_ft_snmp_entity_mib_all,system/test_snmp.py,V3,
7,Regression,FtOpSoSySnFn013,Pass,Mapped,2024-01-01 03:19:54,Test case passed,test_ft_snmp_dot1q_dot1db_mib,system/test_snmp.py,V3,
8,Regression,FtOpSoSySnFn012,Pass,Mapped,2024-01-01 03:19:54,Test case passed,test_ft_snmp_dot1q_dot1db_mib,system/test_snmp.py,V3,
9,Regression,FtOpSoSySnFn015,Pass,Mapped,2024-01-01 03:20:11,Test case passed,test_ft_snmp_root_node_walk,system/test_snmp.py,V3,
10,Regression,FtOpSoSySnFn016,Pass,Mapped,2024-01-01 03:20:21,Test case passed,test_ft_snmp_ipAddressRowStatus_ipv6,system/test_snmp.py,V3,
11,Regression,FtOpSoSySnFn017,Pass,Mapped,2024-01-01 03:20:26,Test case passed,test_ft_snmp_ipAddressStorageType_ipv6,system/test_snmp.py,V3,
12,Regression,FtOpSoSySnFn020,Pass,Mapped,2024-01-01 03:20:30,Test case passed,test_ft_snmp_ipv6_If_Forward_default_HopLimit,system/test_snmp.py,V3,
13,Regression,FtOpSoSySnFn021,Pass,Mapped,2024-01-01 03:20:35,Test case passed,test_ft_snmp_ipv6scope_index_table,system/test_snmp.py,V3,
14,Regression,test_snmp_ip_forward_table,Pass,Mapped,2024-01-01 03:20:42,Test case passed,test_ft_snmp_ip_forward_table,system/test_snmp.py,V3,
15,SNMP Agent Optimization,ft_snmp_ifXTable,Pass,Mapped,2024-01-01 03:20:48,Test case passed,test_ft_snmp_ifx_table,system/test_snmp.py,V3,
16,SNMP Agent Optimization,ft_snmp_ip_System_Stats_Table,Pass,Mapped,2024-01-01 03:20:52,Test case passed,test_ft_snmp_ip_System_Stats_Table,system/test_snmp.py,V3,
17,SNMP Agent Optimization,ft_snmp_ip_IfStats_Table,Pass,Mapped,2024-01-01 03:20:57,Test case passed,test_ft_snmp_ip_IfStats_Table,system/test_snmp.py,V3,
18,SNMP Agent Optimization,ft_snmp_ip_Address_Table,Pass,Mapped,2024-01-01 03:21:02,Test case passed,test_ft_snmp_ip_Address_Table,system/test_snmp.py,V3,
19,SNMP Agent Optimization,ft_snmp_ip_NetToPhysical_Table,Pass,Mapped,2024-01-01 03:21:07,Test case passed,test_ft_snmp_ip_NetToPhysical_Table,system/test_snmp.py,V3,
20,SNMP Agent Optimization,ft_snmp_icmp_Msgs,Pass,Mapped,2024-01-01 03:21:11,Test case passed,test_ft_snmp_icmp_Msgs,system/test_snmp.py,V3,
21,SNMP Agent Optimization,ft_snmp_tcp_mib,Pass,Mapped,2024-01-01 03:21:31,Test case passed,test_ft_snmp_tcp_mib,system/test_snmp.py,V3,
22,SNMP Agent Optimization,ft_snmp_udp_mib,Pass,Mapped,2024-01-01 03:21:36,Test case passed,test_ft_snmp_udp_mib,system/test_snmp.py,V3,
23,SNMP Agent Optimization,ft_snmp_snmpv2_mib,Pass,Mapped,2024-01-01 03:21:40,Test case passed,test_ft_snmp_snmpv2_mib,system/test_snmp.py,V3,
24,SNMP Agent Optimization,ft_snmp_host_resource_mib,Pass,Mapped,2024-01-01 03:21:45,Test case passed,test_ft_snmp_host_resource_mib,system/test_snmp.py,V3,
25,SNMP Agent Optimization,ft_snmp_framework_mib,Pass,Mapped,2024-01-01 03:21:49,Test case passed,test_ft_snmp_framework_mib,system/test_snmp.py,V3,
