#,DUT,Name,Value,Platform,Chip,Build,Module,Function
1,V1,reboot,fast,,,SONiC.master.444338-6d3cef1a9,routing/VRF/test_vrf_scale.py,test_vrf_reload
2,V2,reboot,normal,,,SONiC.master.444338-6d3cef1a9,system/test_sflow.py,test_ft_system_config_mgmt_verifying_config_with_save_reboot_sflow
