#,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
1,Regression,ft_snmp_sysName,Fail,Mapped,2024-01-06 01:29:58,sysname output is not in sync between system and snmp,test_ft_snmp_sysName,system/test_snmp.py,V1,
2,Regression,ft_snmp_test_syUpTime,Pass,Mapped,2024-01-06 01:30:04,Test case passed,test_ft_snmp_test_syUpTime,system/test_snmp.py,V1,
3,Regression,ft_snmp_sysDescr,Pass,Mapped,2024-01-06 01:30:12,Test case passed,test_ft_snmp_sysDescr,system/test_snmp.py,V1,
4,Regression,FtOpSoSySnFn008,Pass,Mapped,2024-01-06 01:30:19,Test case passed,test_ft_snmp_mib_2,system/test_snmp.py,V1,
5,Regression,FtOpSoSySnFn009,Pass,Mapped,2024-01-06 01:30:24,Test case passed,test_ft_snmp_if_mib_all,system/test_snmp.py,V1,
6,Regression,FtOpSoSySnFn010,Pass,Mapped,2024-01-06 01:30:29,Test case passed,test_ft_snmp_entity_mib_all,system/test_snmp.py,V1,
7,Regression,FtOpSoSySnFn013,Pass,Mapped,2024-01-06 01:30:34,Test case passed,test_ft_snmp_dot1q_dot1db_mib,system/test_snmp.py,V1,
8,Regression,FtOpSoSySnFn012,Pass,Mapped,2024-01-06 01:30:34,Test case passed,test_ft_snmp_dot1q_dot1db_mib,system/test_snmp.py,V1,
9,Regression,FtOpSoSySnFn015,Pass,Mapped,2024-01-06 01:30:42,Test case passed,test_ft_snmp_root_node_walk,system/test_snmp.py,V1,
10,Regression,FtOpSoSySnFn016,Pass,Mapped,2024-01-06 01:30:54,Test case passed,test_ft_snmp_ipAddressRowStatus_ipv6,system/test_snmp.py,V1,
11,Regression,FtOpSoSySnFn017,Pass,Mapped,2024-01-06 01:30:59,Test case passed,test_ft_snmp_ipAddressStorageType_ipv6,system/test_snmp.py,V1,
12,Regression,FtOpSoSySnFn020,Pass,Mapped,2024-01-06 01:31:03,Test case passed,test_ft_snmp_ipv6_If_Forward_default_HopLimit,system/test_snmp.py,V1,
13,Regression,FtOpSoSySnFn021,Pass,Mapped,2024-01-06 01:31:08,Test case passed,test_ft_snmp_ipv6scope_index_table,system/test_snmp.py,V1,
14,Regression,test_snmp_ip_forward_table,Pass,Mapped,2024-01-06 01:31:16,Test case passed,test_ft_snmp_ip_forward_table,system/test_snmp.py,V1,
15,SNMP Agent Optimization,ft_snmp_ifXTable,Pass,Mapped,2024-01-06 01:31:22,Test case passed,test_ft_snmp_ifx_table,system/test_snmp.py,V1,
16,SNMP Agent Optimization,ft_snmp_ip_System_Stats_Table,Pass,Mapped,2024-01-06 01:31:27,Test case passed,test_ft_snmp_ip_System_Stats_Table,system/test_snmp.py,V1,
