#,Node,Module,Devices,Models,Chips,TGen,Count,Pass,Rate,Time
1,gw4,routing/test_l3_performance.py,V3,UNKNOWN,VS,scapy,8,6,75.00%,0:04:15
2,gw2,routing/BGP/test_bgp.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,52,46,88.46%,0:40:06
3,gw2,system/test_sflow.py,"V3, V4","UNKNOWN, UNKNOWN","VS, VS",scapy,4,3,75.00%,0:10:47
4,gw1,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4","UNKNOWN, UNKNOWN, UNKNOWN, UNKNOWN","VS, VS, VS, VS",scapy,6,6,100.00%,0:08:17
5,gw3,routing/VRF/test_vrf.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,17,15,88.24%,0:18:13
6,gw3,routing/VRF/test_vrf_scale.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,6,2,33.33%,1:01:34
7,gw3,routing/BGP/test_bgp_rr_traffic.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,1,1,100.00%,0:08:11
8,gw3,sanity/test_sanity_l3.py,"V1, V2","UNKNOWN, UNKNOWN","VS, VS",scapy,1,0,0.00%,0:04:08
