Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,66.95%,118,79,39,24,84.04%,2:48:40,0,19.49%,0.00%,0.00%,0.85%,5:36:30
NAT,0.00%,3,0,3,3,0.00%,0:13:09,0,100.00%,0.00%,0.00%,0.00%,0:13:09
RIF Counters,0.00%,3,0,3,3,0.00%,0:00:00,0,100.00%,0.00%,0.00%,0.00%,0:00:00
L3 Scale and Performance,0.00%,2,0,2,0,0.00%,0:36:08,0,0.00%,0.00%,0.00%,0.00%,1:12:16
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:04:08,0,0.00%,0.00%,0.00%,0.00%,0:08:16
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Regression,71.60%,81,58,23,18,92.06%,1:00:49,0,20.99%,0.00%,0.00%,1.23%,2:13:57
sFlow Hardening,75.00%,4,3,1,0,75.00%,0:10:47,0,0.00%,0.00%,0.00%,0.00%,0:21:34
VRF-Lite,80.95%,21,17,4,0,80.95%,0:43:39,0,0.00%,0.00%,0.00%,0.00%,1:27:18
