Module Name,TC Pass Rate,TC Count,TC Pass,Sys Logs,CDT,FCLI,TSSH,DCNT,Prolog Time,Epilog Time,Func Time,Exec Time,Pass Rate,FCNT,Pass,Fail,Dut Fail,TGen Fail,Script Error,Not Supported,Config Fail,Env Fail,Dep Fail,Skipped,Timeout,Topo Fail,TS
,89.86%,69,62,0,1:51:46,2,0,4,0:11:43,0:00:52,0:43:18,0:55:53,87.50%,40,35,3,1,0,0,1,0,0,0,0,0,0,0
routing/VRF/test_vrf.py,88.24%,17,15,0,0:36:50,1,0,2,0:08:13,0:00:05,0:10:07,0:18:25,80.00%,5,4,0,1,0,0,0,0,0,0,0,0,0,0
routing/BGP/test_bgp.py,90.38%,52,47,0,1:14:56,1,0,2,0:03:30,0:00:47,0:33:11,0:37:28,88.57%,35,31,3,0,0,0,1,0,0,0,0,0,0,0
