#,Module,DUTs,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
1,routing/BGP/test_bgp.py,2,NE,NE,NE,NE,NE,NE
2,routing/VRF/test_vrf.py,2,NE,NE,NE,NE,NE,NE
